g_name;population_size;number_of_edges;beta;innovators_perc;centrism;conformism;modularity;m_barabasi;p_rew_erdos;recommender;rewiring;s;max_time;misinformation;epsilon;n_experiments;mu;delta;time;converged;tot_rewiring;simulation_seed;opinion_seed;graph_seed;avg_op0;avg_opf;ndi0;ndif;stdv0;stdvf;clust0;clustf;BC0;BCf;neigh_corr0;neigh_corrf;num_peaks0;num_peaksf;rwc0;rwcf;strongly_cc0;strongly_ccf;propro;prono;nono;nopro;other
fortunato;400;5639;0.0;0.535;1.0;0.2;0.15000000000000002;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;186;141;139;140;0.4963867305867333;0.5090009906779288;0.31022269215030535;0.15519069879058395;115.46969299344309;115.46969299344309;0.19175547893398;0.2427713617158829;0.5024879580809526;0.6766365552695457;0.06364677090683982;0.11416138012600802;3;3;0.3265182878930916;0.34813457629983163;1;1;605427;952;4001587;979;1391055
fortunato;400;6167;0.0;0.4575;1.0;0.2;0.35000000000000003;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;282;117;115;116;0.47458463581961224;0.47252414576585283;0.31179864437155175;0.2521311880636737;115.46969299344309;115.46969299344309;0.18301982494712857;0.2470262689216451;0.5134129646729094;0.5040532055431879;0.07250755052966207;0.15310921840764918;2;3;0.3265950741768693;0.36259516326124847;1;1;2493368;799;1156284;780;2348769
fortunato;400;4759;0.0;0.4725;1.0;0.2;0.25000000000000006;-777;-777;4,120;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;1903;33;31;32;0.4823358181522448;0.49031796259044497;0.30477491534990964;0.13237344933922443;115.46969299344309;115.46969299344309;0.14426498180768474;0.17090651360937367;0.5280267348881394;0.8786434297419102;0.21971378368657096;0.8376500971284149;3;3;0.30474359899524717;0.5416630531560891;1;2;2075207;470;2663430;478;1260415
fortunato;400;5440;0.0;0.465;1.0;0.2;0.05;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;385;51;49;50;0.4676599293287111;0.46555621900848737;0.30280890903765273;0.15022305677104475;115.46969299344309;115.46969299344309;0.24484618483579682;0.3237936986375341;0.48289432723530384;0.2826452810304002;0.12308204109995684;0.37982359453008435;2;3;0.34478035174487043;0.3672309888343321;1;1;325308;3571;4157230;3445;1510446
fortunato;400;5247;0.0;0.5175;1.0;0.2;0.15000000000000002;-777;-777;4,120;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;2098;69;67;68;0.49373436467405374;0.484817533241109;0.30001840548626685;0.15528475132970157;115.46969299344309;115.46969299344309;0.2103368388433892;0.18794767902251375;0.5370697269214937;0.6530025866257203;0.13758648902135592;0.8040605004251276;2;3;0.3271577898134386;0.49308851908128315;1;1;2835366;149;1818126;158;1346201
fortunato;400;4706;0.0;0.475;1.0;0.2;0.25000000000000006;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;219;129;127;128;0.502379285837708;0.5088814722736701;0.337957816919939;0.2188027537227067;115.46969299344309;115.46969299344309;0.14994244738892515;0.1940134345353986;0.5820308925880714;0.8556843281472571;0.04154012034199557;0.08804030772444253;2;3;0.2929127818306383;0.3098206403677479;1;1;1244812;351;2955837;364;1798636
fortunato;400;5550;0.0;0.53;1.0;0.2;0.35000000000000003;-777;-777;4,120;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;2220;21;19;20;0.5062990501242353;0.4978720197772655;0.3266782823378355;0.15654450671694142;115.46969299344309;115.46969299344309;0.14927905496128147;0.15100757636125944;0.5377394084342845;0.8989281225697116;0.0337839074315724;0.8209993459404905;2;2;0.30299443114150865;0.4688365021977224;1;1;2156114;118;2521701;143;1321924
fortunato;400;5614;0.0;0.53;1.0;0.2;0.15000000000000002;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;279;39;37;38;0.5048963040806892;0.4967106110091511;0.33962019913581626;0.23579656519458114;115.46969299344309;115.46969299344309;0.2607794640256961;0.31349494793439747;0.5688455801262545;0.9169434521843762;-0.025087903409443477;0.17112339761715603;2;2;0.3220374982733726;0.3689963081740759;1;1;2524931;160;1608021;131;1866757
fortunato;400;4957;0.0;0.4825;1.0;0.2;0.35000000000000003;-777;-777;4,120;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;1982;111;109;110;0.4885044354020745;0.47235303152993097;0.3461490940076565;0.16712765307764865;115.46969299344309;115.46969299344309;0.08710043846989965;0.10720988418610691;0.5785156976777743;0.9491220314609564;-0.08662266593951944;0.7968465408678258;2;2;0.28227774373224024;0.4552583999186847;1;1;2171171;71;2449058;87;1379613
fortunato;400;5302;0.0;0.4775;1.0;0.2;0.35000000000000003;-777;-777;2,15;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;199;81;79;80;0.4833511310621169;0.4943509513415214;0.34618813521706715;0.23593187854381803;115.46969299344309;115.46969299344309;0.10788571788479923;0.15307297049807375;0.6176467211881964;0.9565614070623406;0.03166807646757797;0.054034164520165;2;2;0.29088460577169095;0.3232656596304284;1;1;1353951;325;2774412;449;1870863
fortunato;400;5242;0.0;0.5175;1.0;0.2;0.25000000000000006;-777;-777;4,120;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;2096;135;133;134;0.4947999469080447;0.501355738520091;0.317908647861912;0.14775957494196287;115.46969299344309;115.46969299344309;0.19319177922116626;0.18256475016387308;0.5504273821699047;0.8621044143721898;0.03630071626792826;0.8007725021482531;2;2;0.2918668794713205;0.5013346604301413;1;1;2579089;139;2077548;117;1343107
fortunato;400;5117;0.0;0.4925;1.0;0.2;0.25000000000000006;-777;-777;4,120;0.4;2;5000;0;-777;-777;0.2;0.2;5000;-777;2046;9;7;8;0.4900189877953198;0.4886906828643465;0.3177605491763115;0.11642256942970329;115.46969299344309;115.46969299344309;0.16983232196868603;0.21060430260752824;0.5280603794407112;0.8549694753796017;-0.02089227535425509;0.8268741461629796;2;3;0.29436488361249824;0.4879713933794688;1;1;3846734;975;1078536;1089;1072666
