g_name;population_size;number_of_edges;beta;innovators_perc;centrism;conformism;clustering;m_barabasi;p_rew_erdos;recommender;rewiring;s;max_time;misinformation;epsilon;n_experiments;mu;delta;time;converged;tot_rewiring;simulation_seed;opinion_seed;graph_seed;avg_op0;avg_opf;ndi0;ndif;stdv0;stdvf;clust0;clustf;BC0;BCf;neigh_corr0;neigh_corrf;num_peaks0;num_peaksf;rwc0;rwcf;strongly_cc0;strongly_ccf;propro;prono;nono;nopro;other
fortunato;400;5916;0.75;0.5;1.0;0.5;0.5;-777;-777;2;0.5;2;5000;0;-777;-777;0.2;0.2;5000;-777;2958;205;203;204;0.49045569234185693;0.4886806966402109;0.27209050281314506;0.21772931419786193;0.24228816527020225;0.21612371862759294;0.2461924546034765;0.3753238748900623;0.4506118596619246;0.45864954968771066;0.12262358995189451;-0.0036666884264328486;2;3;0.3722381636302774;0.4503182278842971;1;1;901904;118;2953921;168;2143845
fortunato;400;8163;0.25;0.5;1.0;0.5;0.5;-777;-777;1;0.5;2;5000;0;-777;-777;0.2;0.2;5000;-777;2582;238;236;237;0.5023131976548114;0.5070178848285819;0.388103389416218;0.3162847371876202;0.3306315258134796;0.30834940588873067;0.27809027507159956;0.2961304682614616;0.6704199740838684;0.8818340773986258;-0.010797504504484669;0.003099637469369622;3;2;0.37336307691311044;0.3518209055566488;1;1;1958709;851;1736117;771;2302007
fortunato;400;6517;0.25;0.5;1.0;0.5;0.5;-777;-777;2;0.5;2;5000;0;-777;-777;0.2;0.2;5000;-777;1501;189;187;188;0.5169269701416386;0.5174738061803519;0.2839799753931232;0.2307946049153005;0.2631039235733192;0.2394720144148348;0.17749762545086084;0.36480342237316926;0.5504358274533591;0.6784117045421278;0.11318709521999223;0.07966760202607781;2;3;0.3424556803994803;0.4088281999293473;1;1;1717279;18;2202365;30;2080221
fortunato;400;5814;0.5;0.5;1.0;0.5;0.5;-777;-777;1;0.5;2;5000;0;-777;-777;0.2;0.2;5000;-777;1636;174;172;173;0.5659187231484867;0.5707323685352992;0.2588837151250663;0.2080611574745144;0.23683007969104686;0.21857474400144491;0.16608812141409365;0.238652743903346;0.4747233143894461;0.5046781594478725;0.20106516691788437;0.18784016422451755;2;3;0.38843058800909164;0.3993345943753437;1;1;1714119;221;2170858;279;2114305
fortunato;400;5892;0.75;0.5;1.0;0.8;0.5;-777;-777;1;0.5;2;5000;0;-777;-777;0.2;0.2;5000;-777;730;254;252;253;0.5565489552331137;0.5521955792524839;0.31098636893556425;0.26910851034809535;0.29910448133822504;0.28739258843394483;0.3161846316102174;0.3426493786183597;0.766077013728486;0.8776143963517662;-0.07058808040441517;-0.018693325095666354;2;2;0.38019836538687396;0.3690491833178412;1;1;1283399;122;2762625;48;1952614
fortunato;400;7936;0.0;0.5;1.0;0.8;0.5;-777;-777;2;0.5;2;5000;0;-777;-777;0.2;0.2;5000;-777;2775;223;221;222;0.600025277269529;0.6092805539868579;0.2570420458017412;0.23162111201301194;0.2726447651761961;0.251284035725961;0.38566740583279135;0.657585479322396;0.580583478988443;0.550473207842642;0.1847945028055276;0.012560343450096458;3;3;0.4158365985666629;0.47395973379582335;1;1;2171159;358;1718242;205;2109994
fortunato;400;8011;0.0;0.5;1.0;0.5;0.5;-777;-777;2;0.5;2;5000;0;-777;-777;0.2;0.2;5000;-777;3112;160;158;159;0.4769042930715032;0.46473075199170494;0.37979320092727886;0.322405455386379;0.35108336666236933;0.3146678234304096;0.3456873961144823;0.6358439071104983;0.6808520586508697;0.8617279318361133;0.09031875429278285;0.07708464326317743;2;3;0.3867285332738063;0.4772296087951606;1;1;2112336;83;1520794;148;2366636
fortunato;400;6054;0.0;0.5;1.0;0.2;0.5;-777;-777;2;0.5;2;5000;0;-777;-777;0.2;0.2;5000;-777;3027;258;256;257;0.49944730864864384;0.5178163222192248;0.2861088690315141;0.18265624914598888;0.2561578082693942;0.2018007340245291;0.30102784372273467;0.6140797816261547;0.46886295097204866;0.6620137542120955;-0.010721929451720302;0.05166784561429877;2;3;0.38313738034278355;0.4791506059948842;1;1;3314313;852;923948;756;1760125
fortunato;400;6517;0.25;0.5;1.0;0.8;0.5;-777;-777;1;0.5;2;5000;0;-777;-777;0.2;0.2;5000;-777;1166;189;187;188;0.5254099882389877;0.5257828695281461;0.22928637710848032;0.2048416079359743;0.2400514179102289;0.22987246350490664;0.17749762545086084;0.23373357834261488;0.6652871029033128;0.8040155295659277;0.33011144099011547;0.23080007163351443;2;3;0.358514132837768;0.3359478186469874;1;1;1775287;4;2393187;5;1830971
fortunato;400;5916;0.75;0.5;1.0;0.8;0.5;-777;-777;1;0.5;2;5000;0;-777;-777;0.2;0.2;5000;-777;2466;205;203;204;0.4841674595094743;0.4779625774736067;0.1701803263055106;0.12522690252632987;0.20490699716102181;0.18118004781471286;0.2461924546034765;0.29281467744794176;0.5067121390025222;0.49984059996951147;0.36275741765294045;0.1869118453458956;3;3;0.38795197345356547;0.4191099132936283;1;1;635926;118;3967466;121;1395034
